community_area_id,community_area_name,population_2020,area_sq_mi,area_sq_km,density_per_sq_mi,density_per_sq_km
01,Rogers Park,55628,1.84,4.77,30232.61,11672.81
02,West Ridge,77122,3.53,9.14,21847.59,8435.36
03,Uptown,57182,2.32,6.01,24647.41,9516.37
04,Lincoln Square,40494,2.56,6.63,15817.97,6107.32
05,North Center,35114,2.05,5.31,17128.78,6613.42
06,Lake View,103050,3.12,8.08,33028.85,12752.44
07,Lincoln Park,70492,3.16,8.18,22307.59,8612.96
08,Near North Side,105481,2.74,7.1,38496.72,14863.58
09,Edison Park,11525,1.13,2.93,10199.12,3937.88
10,Norwood Park,38303,4.37,11.32,8764.99,3384.16
11,Jefferson Park,26216,2.33,6.03,11251.5,4344.2
12,Forest Glen,19596,3.2,8.29,6123.75,2364.38
13,North Park,17559,2.52,6.53,6967.86,2690.29
14,Albany Park,48396,1.92,4.97,25206.25,9732.13
15,Portage Park,63020,3.95,10.23,15954.43,6160.01
16,Irving Park,51940,3.21,8.31,16180.69,6247.36
17,Dunning,43147,3.72,9.63,11598.66,4478.24
18,Montclare,14401,0.99,2.56,14546.46,5616.39
19,Belmont Cragin,78116,3.91,10.13,19978.52,7713.71
20,Hermosa,24062,1.17,3.03,20565.81,7940.46
21,Avondale,36257,1.98,5.13,18311.62,7070.12
22,Logan Square,71665,3.59,9.3,19962.4,7707.48
23,Humboldt Park,54165,3.6,9.32,15045.83,5809.2
24,West Town,87781,4.58,11.86,19166.16,7400.05
25,Austin,96557,7.15,18.52,13504.48,5214.08
26,West Garfield Park,17433,1.28,3.32,13619.53,5258.5
27,East Garfield Park,19992,1.93,5,10358.55,3999.44
28,Near West Side,67881,5.69,14.74,11929.88,4606.13
29,North Lawndale,34794,3.21,8.31,10839.25,4185.04
30,South Lawndale,71399,4.59,11.89,15555.34,6005.92
31,Lower West Side,33751,2.93,7.59,11519.11,4447.53
32,Loop,42298,1.65,4.27,25635.15,9897.73
33,Near South Side,28795,1.78,4.61,16176.97,6245.93
34,Armour Square,13890,1,2.59,13890,5362.93
35,Douglas,20291,1.65,4.27,12297.58,4748.09
36,Oakland,6799,0.58,1.5,11722.41,4526.02
37,Fuller Park,2567,0.71,1.84,3615.49,1395.94
38,Grand Boulevard,24589,1.74,4.51,14131.61,5456.21
39,Kenwood,19116,1.04,2.69,18380.77,7096.82
40,Washington Park,12707,1.52,3.94,8359.87,3227.75
41,Hyde Park,29456,1.61,4.17,18295.65,7063.95
42,Woodlawn,24425,2.07,5.36,11799.52,4555.79
43,South Shore,53971,2.93,7.59,18420.14,7112.01
44,Chatham,31710,2.95,7.64,10749.15,4150.25
45,Avalon Park,9458,1.25,3.24,7566.4,2921.39
46,South Chicago,27300,3.34,8.65,8173.65,3155.85
47,Burnside,2527,0.61,1.58,4142.62,1599.47
48,Calumet Heights,13088,1.75,4.53,7478.86,2887.59
49,Roseland,38816,4.82,12.48,8053.11,3109.31
50,Pullman,6820,2.12,5.49,3216.98,1242.08
51,South Deering,14105,10.9,28.23,1294.04,499.63
52,East Side,21724,2.98,7.72,7289.93,2814.64
53,West Pullman,26104,3.56,9.22,7332.58,2831.11
54,Riverdale,7262,3.53,9.14,2057.22,794.29
55,Hegewisch,10027,5.24,13.57,1913.55,738.82
56,Garfield Ridge,35439,4.23,10.96,8378.01,3234.75
57,Archer Heights,14196,2.01,5.21,7062.69,2726.9
58,Brighton Park,45053,2.72,7.04,16563.6,6395.21
59,McKinley Park,15923,1.41,3.65,11292.91,4360.19
60,Bridgeport,33702,2.09,5.41,16125.36,6226
61,New City,43628,4.83,12.51,9032.71,3487.53
62,West Elsdon,18394,1.17,3.03,15721.37,6070.02
63,Gage Park,39540,2.2,5.7,17972.73,6939.27
64,Clearing,24473,2.55,6.6,9597.25,3705.5
65,West Lawn,33662,2.95,7.64,11410.85,4405.73
66,Chicago Lawn,55931,3.53,9.14,15844.48,6117.55
67,West Englewood,29647,3.15,8.16,9411.75,3633.88
68,Englewood,24369,3.07,7.95,7937.79,3064.78
69,Greater Grand Crossing,31471,3.55,9.19,8865.07,3422.8
70,Ashburn,41098,4.86,12.59,8456.38,3265.01
71,Auburn Gresham,44878,3.77,9.76,11903.98,4596.13
72,Beverly,20027,3.18,8.24,6297.8,2431.58
73,Washington Heights,25065,2.86,7.41,8763.99,3383.78
74,Mount Greenwood,18628,2.71,7.02,6873.8,2653.97
75,Morgan Park,21186,3.3,8.55,6420,2478.76
76,O'Hare,13418,13.34,34.55,1005.85,388.36
77,Edgewater,56296,1.74,4.51,32354.02,12491.89
