location_description_id,location_description_name
1,ABANDONED BUILDING
2,AIRCRAFT
3,AIRPORT BUILDING NON-TERMINAL - NON-SECURE AREA
4,AIRPORT BUILDING NON-TERMINAL - SECURE AREA
5,AIRPORT EXTERIOR - NON-SECURE AREA
6,AIRPORT EXTERIOR - SECURE AREA
7,AIRPORT PARKING LOT
8,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA
9,AIRPORT TERMINAL LOWER LEVEL - SECURE AREA
10,AIRPORT TERMINAL MEZZANINE - NON-SECURE AREA
11,AIRPORT TERMINAL UPPER LEVEL - NON-SECURE AREA
12,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA
13,AIRPORT TRANSPORTATION SYSTEM (ATS)
14,AIRPORT VENDING ESTABLISHMENT
15,AIRPORT/AIRCRAFT
16,ALLEY
17,ANIMAL HOSPITAL
18,APARTMENT
19,APPLIANCE STORE
20,ATHLETIC CLUB
21,ATM (AUTOMATIC TELLER MACHINE)
22,AUTO
23,AUTO / BOAT / RV DEALERSHIP
24,BANK
25,BANQUET HALL
26,BAR OR TAVERN
27,BARBER SHOP/BEAUTY SALON
28,BARBERSHOP
29,BASEMENT
30,BEACH
31,BOAT / WATERCRAFT
32,BOAT/WATERCRAFT
33,BOWLING ALLEY
34,BRIDGE
35,CAR WASH
36,CASINO/GAMBLING ESTABLISHMENT
37,CEMETARY
38,CHA APARTMENT
39,CHA ELEVATOR
40,CHA GROUNDS
41,CHA HALLWAY
42,CHA HALLWAY / STAIRWELL / ELEVATOR
43,CHA HALLWAY/STAIRWELL/ELEVATOR
44,CHA LOBBY
45,CHA PARKING LOT
46,CHA PARKING LOT / GROUNDS
47,CHA PARKING LOT/GROUNDS
48,CHA PLAY LOT
49,CHA STAIRWELL
50,CHURCH
51,CHURCH / SYNAGOGUE / PLACE OF WORSHIP
52,CHURCH PROPERTY
53,CHURCH/SYNAGOGUE/PLACE OF WORSHIP
54,CLEANERS/LAUNDROMAT
55,CLEANING STORE
56,CLUB
57,COIN OPERATED MACHINE
58,COLLEGE / UNIVERSITY - GROUNDS
59,COLLEGE / UNIVERSITY - RESIDENCE HALL
60,COLLEGE/UNIVERSITY GROUNDS
61,COLLEGE/UNIVERSITY RESIDENCE HALL
62,COMMERCIAL / BUSINESS OFFICE
63,CONSTRUCTION SITE
64,CONVENIENCE STORE
65,CREDIT UNION
66,CTA "L" PLATFORM
67,CTA "L" TRAIN
68,CTA BUS
69,CTA BUS STOP
70,CTA GARAGE / OTHER PROPERTY
71,CTA PARKING LOT / GARAGE / OTHER PROPERTY
72,CTA PLATFORM
73,CTA PROPERTY
74,CTA STATION
75,CTA SUBWAY STATION
76,CTA TRACKS - RIGHT OF WAY
77,CTA TRAIN
78,CURRENCY EXCHANGE
79,DAY CARE CENTER
80,DELIVERY TRUCK
81,DEPARTMENT STORE
82,DRIVEWAY
83,DRIVEWAY - RESIDENTIAL
84,DRUG STORE
85,ELEVATOR
86,EXPRESSWAY EMBANKMENT
87,FACTORY / MANUFACTURING BUILDING
88,FACTORY/MANUFACTURING BUILDING
89,FARM
90,FEDERAL BUILDING
91,FIRE STATION
92,FOREST PRESERVE
93,GANGWAY
94,GARAGE
